customer_name,Mar_21,Apr_21,May_21,Jun_21,Jul_21,Aug_21,Sep_21,Oct_21,Nov_21,Dec_21,Jan_22,Feb_22,Mar_22,Apr_22,May_22,Jun_22,Jul_22,Aug_22,Sep_22,Oct_22,Nov_22,Dec_22,Jan_23,Feb_23,Mar_23,Apr_23,May_23,Jun_23,Jul_23,Aug_23,Sep_23,Oct_23,Nov_23,Dec_23,Jan_24,Feb_24,Mar_24,Apr_24,May_24,Jun_24,Jul_24,Aug_24,Sep_24,Oct_24,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20,Jan_21,Feb_21,Nov_24,Dec_24,Jan_25,Feb_25,Dec_18,Jan_19,Feb_19,Mar_19,Apr_19,May_19,Jun_19,Jul_19,Aug_19,Sep_19,Oct_19,Nov_19,Dec_19,Jan_20,Jun_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18,Mar_25,Apr_25,May_25,Jun_25,Jul_25,Aug_25,Sep_25,Oct_25,Nov_25,Dec_25,Jan_26,Feb_26,Mar_26,Apr_26,May_26,Jun_26,Jul_26,Aug_26,Sep_26,Oct_26,Nov_26,Dec_26,Jan_27,Feb_27,Mar_27,Apr_27,May_27,Jun_27,Jul_27,Aug_27,Sep_27,Oct_27,Nov_27,Dec_27,Jan_28,Feb_28,Mar_28,Apr_28,May_28,Jun_28,Jul_28,Aug_28,Sep_28,Oct_28,Nov_28,Dec_28,Jan_29,Feb_29,Mar_29,Apr_29,May_29,Jun_29,Jul_29,Aug_29,Sep_29,Oct_29,Nov_29,Dec_29,Jan_30,Feb_30
"""#1 Green Township (IN) Volunteer Fire Department""",359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,359.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AMR Independence/South Platte (MO)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Abbeville County (SC) Emergency Services""",2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2097.0,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2085.5722070844686,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,2159.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Abington (PA) Fire Company""",399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,0.0,0.0,0.0,,,,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Addison (IL) Fire Protection District""",,,,,,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,1677.6,,,,,,,,,,,,,,1677.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Addison (TX) Fire Department""",,,,,,,,,,,,,,,,,,,,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,2756.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Airway Heights (WA) Fire Department, City of""",399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,798.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,0.0,0.0,0.0,,,,,,,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,,,,,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Alabaster (AL) Fire Department""",629.1,629.1,629.1,629.1,629.1,629.1,629.1,629.1,1887.3000000000002,1887.3000000000002,1887.3000000000002,1887.3000000000002,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,1258.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Albert Township Lewiston (MI) Fire Department""",838.0,838.0,838.8,838.8,838.8,838.8,838.8,838.8,838.8,838.8,838.8,838.8,838.8,838.8,838.8,838.8,838.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.0,838.0,838.0,838.0,838.0,838.0,838.0,838.0,838.0,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Albertville (MN) Fire Department""",399.0,1016.4067796610169,1016.4067796610169,1016.4067796610169,1016.4067796610169,1016.4067796610169,1016.4067796610169,1016.4067796610169,1016.4067796610169,1016.4067796610169,1016.4067796610169,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,410.97,0.0,0.0,0.0,,,,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
